symptom,category,severity
Температура,общий,high
Кашель,дыхательная,medium
Слабость,общий,medium
Головная боль,неврология,medium
Боль в горле,дыхательная,low
Насморк,дыхательная,low
Чихание,дыхательная,low
Одышка,дыхательная,high
Озноб,общий,medium
Боль в мышцах,общий,medium
Боль в груди,дыхательная,high
Зуд глаз,аллергология,low
Тошнота,гастроэнтерология,medium
Боль в животе,гастроэнтерология,medium
Изжога,гастроэнтерология,low
Боль в ухе,лор,medium
Частое мочеиспускание,урология,medium
Боль внизу живота,урология,medium
